Condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,rest_pre_press.keys,rest_pre_press.rt,pre_cond_press.keys,pre_cond_press.rt,cond_press.keys,cond_press.rt,loop_rest_press.keys,loop_rest_press.rt,participant,session,date,expName,frameRate,
,,,,,"['5', '5', '5', '5', '5', '5', '5', '5']","[1.9784799960325472, 3.9824811318540014, 5.9872015826404095, 7.978511214780156, 9.97781584848417, 11.976155693584587, 13.968518638866954, 15.968352281255648]",,,,,,,div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided4spk_2targets_Stim9,0,0,0,0,,,['5'],[1.9257082814583555],"['5', '5', '1', '5', '5', '5', '1']","[1.9209322355454788, 3.940140766731929, 5.029750643181615, 5.930232438782696, 7.941757728520315, 9.926155180379283, 11.388351802306715]","['5', '5', '5', '5']","[1.9844004454207607, 3.9758884095354006, 5.980296672496479, 7.991794164758176]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided2spk_2targets_Stim9,0,1,1,1,,,['5'],[1.9613507211906835],"['5', '5', '1', '5', '5', '5', '1']","[1.9279953779187053, 3.9327474751044065, 5.655049573688302, 5.914743219094817, 7.924804219743237, 9.933670781261753, 10.348913928493857]","['5', '5', '5', '5', '5']","[0.0022456139558926225, 1.9853883273899555, 3.9964833967387676, 6.000134711153805, 7.993632651574444]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided2spk_2targets_Stim10,0,2,2,2,,,['5'],[0.0004118313081562519],"['5', '5', '5', '1', '5', '5', '1']","[1.9115978199988604, 3.9020046734367497, 5.898436751624104, 6.342245511361398, 7.898441028140951, 9.90754878683947, 10.368342274159659]","['5', '5', '5', '5', '5']","[1.9767727990983985, 3.986093102081213, 5.966536460095085, 7.9672827172908, 9.964541879366152]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Baseline_3targets_Stim11,0,3,3,3,,,['5'],[1.9714891273179092],"['5', '5', '5', '5', '5']","[1.8969040377414785, 3.893909173028078, 5.905571739946026, 7.8951279884786345, 9.896680802106857]","['5', '5', '5', '5']","[1.9831388645689003, 3.9773415796807967, 5.9734678848763, 7.988464018853847]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided4spk_3targets_Stim10,0,4,4,4,,,['5'],[1.9744472137535922],"['5', '1', '5', '5', '5', '1', '5', '1']","[1.8818159580114298, 3.1397707600845024, 3.8863123178016394, 5.890613667143043, 7.8841778940404765, 8.118809700594284, 9.884083810029551, 11.293966307654046]","['5', '5', '5', '5']","[1.9768117156927474, 3.9690844258875586, 5.975492401455995, 7.969854631694034]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided2spk_3targets_Stim11,0,5,5,5,,,['5'],[1.9714647509972565],"['5', '1', '1', '5', '1', '5', '1', '5', '1', '5']","[1.9255085667828098, 2.909933816175908, 3.3316537914215587, 3.937859657453373, 5.742683686199598, 5.934112548420671, 6.367408704303671, 7.940665926551446, 8.172039860801306, 9.936113116331398]","['5', '5', '5', '5']","[1.9760928283794783, 3.9906968031427823, 5.995044339215383, 7.979020979022607]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided4spk_3targets_Stim11,0,6,6,6,,,['5'],[1.9889955934486352],"['5', '1', '5', '5', '1', '5', '5', '1', '5']","[1.9319075616076589, 3.799023322586436, 3.9147308171377517, 5.931255388422869, 7.151664688019082, 7.914279641583562, 9.923584121337626, 11.399599116644822, 11.911937377706636]","['5', '5', '5', '5']","[1.9636694641085342, 3.9772509168833494, 5.968599465617444, 7.9570228572702035]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Baseline_3targets_Stim12,0,7,7,7,,,['5'],[1.9738100084941834],"['5', '5', '5', '5', '5']","[1.9148065119516104, 3.9116072283359244, 5.9128538413206115, 7.902384858287405, 9.915293182828464]","['5', '5', '5', '5']","[1.983272720419336, 3.9625554240192287, 5.964673596958164, 7.972116068878677]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided4spk_2targets_Stim12,0,8,8,8,,,['5'],[1.9765418656752445],"['5', '5', '1', '5', '1', '5', '5', '1']","[1.9117487820913084, 3.9138164917821996, 3.979190330253914, 5.916385840217117, 7.174973143322859, 7.9126494225347415, 9.921978706261143, 11.51079571119044]","['5', '5', '5', '5']","[1.983188472513575, 3.9891867550322786, 5.972760971926618, 7.990832797368057]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
stimuli/sounds/Run3_Divided/Divided2spk_2targets_Stim12,0,9,9,9,,,['5'],[1.964891700714361],"['5', '5', '5', '1', '5', '5', '1']","[1.9079358141752891, 3.908164181688335, 5.8924696878530085, 6.016939823864959, 7.891129846160766, 9.903997971210629, 10.237956820579711]","['5', '5', '5', '5']","[1.974928752752021, 3.9877464145538397, 5.975917490024585, 7.987087826535571]",div3,001,2018_Dec_14_1256,Run1,60.41790367243898,
